Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
51800,Lancer EX 1.6A,Mitsubishi,9630,14-Apr-2016,Sedan,70431,https://i.i-sgcm.com/cars_used/202106/1006069_small.jpg
57800,Teana 2.0A XL,Nissan,9310,16-May-2016,Luxury,99241,https://i.i-sgcm.com/cars_used/202106/1004695_small.jpg
96800,Civic 1.5A VTEC Turbo Sunroof,Honda,12740,25-Jan-2018,Sedan,39000,https://i.i-sgcm.com/cars_used/202106/1002700_small.jpg
113800,H3 3.7A (COE till 05/2029),Hummer,14560,18-Jun-2009,SUV,91000,https://i.i-sgcm.com/cars_used/202105/1000719_small.jpg
218800,M Series M235i Gran Coupe xDrive,BMW,20030,25-Nov-2020,Sports,9749,https://i.i-sgcm.com/cars_used/202105/999900_small.jpg
87800,Forester 2.0i-L Sunroof,Subaru,10960,31-Dec-2018,SUV,48150,https://i.i-sgcm.com/cars_used/202105/999013_small.jpg
53888,Civic 2.0A (COE till 10/2028),Honda,7520,06-Oct-2008,Sedan,93850,https://i.i-sgcm.com/cars_used/202105/997969_small.jpg
63900,308 1.2A PureTech Allure,Peugeot,9660,20-Sep-2017,Hatchback,40049,https://i.i-sgcm.com/cars_used/202105/993414_small.jpg
138800,2 Series 225xe Plug-in Hybrid Active Tourer,BMW,12250,30-Oct-2020,Hatchback,7259,https://i.i-sgcm.com/cars_used/202104/990931_small.jpg
54800,3 1.5A Sunroof,Mazda,8710,09-May-2017,Sedan,60000,https://i.i-sgcm.com/cars_used/202104/988882_small.jpg
164988,GLA-Class GLA200 Sport,Mercedes-Benz,15340,11-Mar-2021,SUV,20,https://i.i-sgcm.com/cars_used/202103/977149_small.jpg
91888,Sienta Hybrid 1.5A X LED,Toyota,9710,26-Feb-2020,MPV,5000,https://i.i-sgcm.com/cars_used/202103/975170_small.jpg
11500,Golf GTI 5DR (COE till 05/2022),Volkswagen,15150,14-May-2007,Sports,150000,https://i.i-sgcm.com/cars_used/202108/1021380_small.jpg
90800,5 Series 523i (COE till 06/2030),BMW,10210,21-Jan-2011,Luxury,172824,https://i.i-sgcm.com/cars_used/202108/1021377_small.jpg
82500,ES250 Luxury Sunroof,Lexus,15790,24-Apr-2015,Luxury,33600,https://i.i-sgcm.com/cars_used/202108/1020621_small.jpg
46998,Cerato K3 1.6A EX,Kia,9250,25-Nov-2015,Sedan,89427,https://i.i-sgcm.com/cars_used/202108/1019735_small.jpg
61800,Vezel Hybrid 1.5A X Sensing,Honda,11420,18-Oct-2016,SUV,64000,https://i.i-sgcm.com/cars_used/202107/1015433_small.jpg
15800,Fit 1.3A G (COE till 09/2023),Honda,7570,11-Sep-2008,Hatchback,170000,https://i.i-sgcm.com/cars_used/202107/1015166_small.jpg
64800,CLA-Class CLA180,Mercedes-Benz,16550,28-Nov-2014,Luxury,115000,https://i.i-sgcm.com/cars_used/202107/1013181_small.jpg
69800,Prius Hybrid 1.8A,Toyota,11220,27-Feb-2017,Hatchback,83000,https://i.i-sgcm.com/cars_used/202107/1012932_small.jpg
21800,Avante 1.6A (COE till 08/2024),Hyundai,7200,19-Aug-2009,Sedan,142000,https://i.i-sgcm.com/cars_used/202107/1010763_small.jpg
19800,Corolla Axio 1.5A X (COE till 03/2024),Toyota,7660,11-Mar-2009,Sedan,171000,https://i.i-sgcm.com/cars_used/202107/1010494_small.jpg
39800,Corolla Altis 1.6A (COE till 05/2026),Toyota,8280,31-May-2011,Sedan,101000,https://i.i-sgcm.com/cars_used/202106/1008546_small.jpg
21800,Fit 1.3A G (COE till 02/2024),Honda,8610,20-Feb-2009,Hatchback,150000,https://i.i-sgcm.com/cars_used/202105/998156_small.jpg
290800,Gallardo LP560-4 (COE till 02/2030),Lamborghini,33970,29-Jun-2010,Sports,47600,https://i.i-sgcm.com/cars_used/202105/996358_small.jpg
72800,Prius Hybrid 1.8A,Toyota,12190,16-May-2017,Hatchback,45000,https://i.i-sgcm.com/cars_used/202105/995998_small.jpg
69800,Civic 1.8A VTi-S (New 10-yr COE),Honda,6980,29-Jun-2011,Sedan,149000,https://i.i-sgcm.com/cars_used/202104/990814_small.jpg
188988,GLB-Class GLB200 AMG Line Premium,Mercedes-Benz,17420,24-Feb-2021,SUV,20,https://i.i-sgcm.com/cars_used/202102/971139_small.jpg
84800,Civic 1.6A VTi,Honda,10770,24-Jul-2018,Sedan,45188,https://i.i-sgcm.com/cars_used/202108/1021386_small.jpg
18000,Camry 2.0A (COE till 05/2023),Toyota,10430,02-May-2008,Luxury,158000,https://i.i-sgcm.com/cars_used/202108/1021381_small.jpg
95800,ES Hybrid ES300h Luxury Sunroof,Lexus,16150,17-Dec-2015,Luxury,88000,https://i.i-sgcm.com/cars_used/202108/1020516_small.jpg
52800,Vezel 1.5A X,Honda,10990,04-Jan-2016,SUV,61800,https://i.i-sgcm.com/cars_used/202108/1020183_small.jpg
77800,SLK-Class SLK200K (COE till 10/2029),Mercedes-Benz,9450,11-Feb-2010,Sports,153400,https://i.i-sgcm.com/cars_used/202108/1020092_small.jpg
57800,6 2.5A Luxury,Mazda,10990,22-Sep-2015,Luxury,90000,https://i.i-sgcm.com/cars_used/202108/1020052_small.jpg
16998,Fit 1.3A G (COE till 09/2023),Honda,8010,24-Sep-2008,Hatchback,128502,https://i.i-sgcm.com/cars_used/202108/1019437_small.jpg
82800,Qashqai 1.2A DIG-T Premium,Nissan,10330,15-Aug-2018,SUV,48000,https://i.i-sgcm.com/cars_used/202107/1018984_small.jpg
103800,CLA-Class CLA180 Urban,Mercedes-Benz,15400,14-Jun-2017,Luxury,60780,https://i.i-sgcm.com/cars_used/202107/1018791_small.jpg
134800,X5 xDrive35i 7-Seater,BMW,21010,28-Sep-2015,SUV,103000,https://i.i-sgcm.com/cars_used/202107/1017447_small.jpg
119800,ES250 Executive Sunroof,Lexus,15230,26-Jan-2018,Luxury,52000,https://i.i-sgcm.com/cars_used/202107/1016971_small.jpg
53800,Vezel 1.5A X,Honda,10370,12-May-2016,SUV,49248,https://i.i-sgcm.com/cars_used/202107/1016629_small.jpg
64800,3 1.5A Sunroof,Mazda,8740,13-Mar-2018,Sedan,48248,https://i.i-sgcm.com/cars_used/202107/1015683_small.jpg
20800,Cerato Forte 1.6A SX (COE till 09/2024),Kia,6610,16-Oct-2009,Sedan,165000,https://i.i-sgcm.com/cars_used/202107/1014679_small.jpg
18800,Swift 1.2A XG (COE till 01/2024),Suzuki,7670,22-Jan-2009,Hatchback,122000,https://i.i-sgcm.com/cars_used/202107/1014498_small.jpg
111800,E-Class E250 AMG Line Edition E Sunroof,Mercedes-Benz,16920,23-Mar-2016,Luxury,96999,https://i.i-sgcm.com/cars_used/202107/1013879_small.jpg
138800,Quattroporte 4.2A (COE till 01/2031),Maserati,14630,06-May-2011,Luxury,50202,https://i.i-sgcm.com/cars_used/202107/1013775_small.jpg
119800,Freed Hybrid 1.5A G Sensing,Honda,11300,29-Jun-2021,MPV,20,https://i.i-sgcm.com/cars_used/202107/1013635_small.jpg
84800,C-Class C180 Avantgarde,Mercedes-Benz,16800,20-Jul-2015,Luxury,117000,https://i.i-sgcm.com/cars_used/202107/1013448_small.jpg
13800,Presage 2.5A Highway Star (COE till 08/2023),Nissan,6720,30-Aug-2008,MPV,173000,https://i.i-sgcm.com/cars_used/202107/1013387_small.jpg
17800,Corolla Altis 1.6A (COE till 02/2024),Toyota,7010,23-Feb-2009,Sedan,162000,https://i.i-sgcm.com/cars_used/202107/1012825_small.jpg
20800,Stream 1.8A (COE till 12/2023),Honda,8690,02-Jan-2009,MPV,120000,https://i.i-sgcm.com/cars_used/202107/1012707_small.jpg
52800,Camry 2.0A (COE till 01/2029),Toyota,7050,19-Feb-2009,Luxury,128000,https://i.i-sgcm.com/cars_used/202106/1003007_small.jpg
